,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Knowledge of languages,          Chilcotin,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Dene,,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Dogrib (Tlicho),,0,,0,,0,,10,,0,,0,
Knowledge of languages,          Gwich'in,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Sarsi (Sarcee),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Sekani,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            South Slavey,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tahltan languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Tahltan,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tutchone languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Northern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Southern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Athabaskan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Haida,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Inuit languages,,0,,0,,0,,20,,10,,10,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Inuktitut,,0,,0,,0,,15,,0,,0,
Knowledge of languages,        Inuit languages; n.i.e.,,0,,0,,0,,10,,10,,10,
Knowledge of languages,      Iroquoian languages,,0,,0,,0,,60,,20,,40,
Knowledge of languages,        Cayuga,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Mohawk,,0,,0,,0,,45,,15,,35,
Knowledge of languages,        Oneida,,0,,0,,0,,10,,10,,10,
Knowledge of languages,        Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Kutenai,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Michif,,0,,0,,0,,15,,10,,0,
Knowledge of languages,      Salish languages,,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Comox,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Halkomelem,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Lillooet,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Okanagan,,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Squamish,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Straits,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Salish languages; n.i.e.,,0,,0,,0,,10,,0,,0,
Knowledge of languages,      Siouan languages,,0,,0,,0,,0,,0,,10,
Knowledge of languages,        Dakota,,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Stoney,,0,,0,,0,,0,,0,,10,
Knowledge of languages,        Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Tlingit,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Tsimshian languages,,0,,0,,0,,10,,0,,10,
Knowledge of languages,        Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Nisga'a,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Tsimshian,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Wakashan languages,,0,,0,,0,,0,,0,,10,
Knowledge of languages,        Haisla,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Heiltsuk,,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Aboriginal languages; n.o.s.,,0,,0,,0,,30,,20,,15,
Knowledge of languages,    Non-Aboriginal languages,,6995,,3345,,3645,,3114775,,1485055,,1629720,
Knowledge of languages,      Afro-Asiatic languages,,430,,265,,165,,211335,,106115,,105215,
Knowledge of languages,        Berber languages,,0,,0,,0,,245,,135,,110,
Knowledge of languages,          Kabyle,,0,,0,,0,,80,,40,,40,
Knowledge of languages,          Berber languages; n.i.e.,,0,,0,,0,,170,,95,,75,
Knowledge of languages,        Cushitic languages,,15,,10,,10,,20445,,8910,,11530,
Knowledge of languages,          Bilen,,0,,0,,0,,85,,50,,35,
Knowledge of languages,          Oromo,,10,,0,,0,,1390,,590,,800,
Knowledge of languages,          Somali,,15,,10,,0,,18965,,8250,,10715,
Knowledge of languages,          Cushitic languages; n.i.e.,,0,,0,,0,,85,,30,,50,
Knowledge of languages,        Semitic languages,,425,,260,,165,,191925,,97710,,94215,
Knowledge of languages,          Amharic,,25,,10,,15,,11440,,5325,,6115,
Knowledge of languages,          Arabic,,235,,140,,90,,125970,,65090,,60880,
Knowledge of languages,          Assyrian Neo-Aramaic,,10,,10,,0,,12500,,6090,,6410,
Knowledge of languages,          Chaldean Neo-Aramaic,,0,,0,,0,,2220,,1110,,1105,
Knowledge of languages,          Harari,,0,,0,,0,,1250,,635,,620,
Knowledge of languages,          Hebrew,,160,,105,,55,,38385,,19590,,18795,
Knowledge of languages,          Maltese,,0,,0,,0,,4675,,2295,,2380,
Knowledge of languages,          Tigrigna,,0,,0,,0,,5960,,2790,,3180,
Knowledge of languages,          Semitic languages; n.i.e.,,0,,0,,0,,1135,,555,,580,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0,,0,,0,,720,,335,,390,
Knowledge of languages,      Austro-Asiatic languages,,110,,35,,80,,67000,,30750,,36245,
Knowledge of languages,        Khmer (Cambodian),,0,,0,,0,,4340,,1900,,2445,
Knowledge of languages,        Vietnamese,,115,,30,,75,,62935,,29000,,33935,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0,,0,,0,,40,,0,,35,
Knowledge of languages,      Austronesian languages,,195,,80,,115,,205810,,81995,,123815,
Knowledge of languages,        Bikol,,0,,0,,0,,580,,260,,325,
Knowledge of languages,        Cebuano,,0,,10,,0,,7350,,2960,,4395,
Knowledge of languages,        Fijian,,0,,0,,0,,50,,20,,30,
Knowledge of languages,        Hiligaynon,,0,,0,,0,,2545,,1015,,1530,
Knowledge of languages,        Ilocano,,10,,10,,0,,12740,,5000,,7740,
Knowledge of languages,        Malagasy,,0,,0,,0,,90,,45,,45,
Knowledge of languages,        Malay,,20,,10,,10,,7305,,3360,,3945,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,0,,0,,0,,1600,,735,,875,
Knowledge of languages,        Pangasinan,,0,,0,,0,,450,,200,,255,
Knowledge of languages,        Tagalog (Pilipino; Filipino),,170,,65,,105,,193480,,76640,,116840,
Knowledge of languages,        Waray-Waray,,0,,0,,0,,320,,100,,220,
Knowledge of languages,        Austronesian languages; n.i.e.,,0,,0,,0,,1275,,525,,750,
Knowledge of languages,      Creole languages,,35,,0,,25,,16750,,7530,,9220,
Knowledge of languages,        Haitian Creole,,0,,0,,10,,645,,290,,355,
Knowledge of languages,        Creole; n.o.s.,,10,,0,,15,,9125,,4110,,5015,
Knowledge of languages,        Creole languages; n.i.e.,,20,,10,,15,,7130,,3185,,3945,
Knowledge of languages,      Dravidian languages,,130,,65,,70,,176480,,87740,,88740,
Knowledge of languages,        Kannada,,10,,10,,0,,4470,,2245,,2215,
Knowledge of languages,        Malayalam,,25,,15,,10,,17255,,8785,,8475,
Knowledge of languages,        Tamil,,75,,30,,45,,146145,,71915,,74225,
Knowledge of languages,        Telugu,,20,,10,,10,,13615,,7460,,6150,
Knowledge of languages,        Dravidian languages; n.i.e.,,0,,0,,0,,440,,225,,210,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,25,,10,,15,
Knowledge of languages,      Indo-European languages,,4000,,1980,,2020,,1768825,,861040,,907780,
Knowledge of languages,        Albanian,,0,,0,,0,,15375,,7695,,7680,
Knowledge of languages,        Armenian,,40,,30,,10,,15225,,7275,,7950,
Knowledge of languages,        Balto-Slavic languages,,880,,380,,500,,300880,,140300,,160580,
Knowledge of languages,          Baltic languages,,40,,15,,25,,6340,,2595,,3745,
Knowledge of languages,            Latvian,,10,,10,,10,,2630,,1115,,1520,
Knowledge of languages,            Lithuanian,,30,,10,,20,,3710,,1480,,2230,
Knowledge of languages,          Slavic languages,,850,,375,,480,,296240,,138420,,157820,
Knowledge of languages,            Belarusan,,0,,0,,0,,945,,495,,450,
Knowledge of languages,            Bosnian,,30,,15,,15,,4355,,2110,,2250,
Knowledge of languages,            Bulgarian,,20,,0,,20,,8055,,3940,,4120,
Knowledge of languages,            Croatian,,55,,25,,30,,23785,,11605,,12180,
Knowledge of languages,            Czech,,35,,15,,25,,6300,,2975,,3325,
Knowledge of languages,            Macedonian,,40,,20,,20,,16730,,8025,,8700,
Knowledge of languages,            Polish,,145,,55,,90,,83545,,38245,,45300,
Knowledge of languages,            Russian,,375,,165,,210,,111165,,51675,,59485,
Knowledge of languages,            Serbian,,135,,65,,70,,27390,,13560,,13830,
Knowledge of languages,            Serbo-Croatian,,25,,15,,0,,2865,,1390,,1475,
Knowledge of languages,            Slovak,,10,,10,,0,,6085,,2790,,3295,
Knowledge of languages,            Slovene (Slovenian),,0,,10,,0,,4450,,2010,,2440,
Knowledge of languages,            Ukrainian,,65,,20,,40,,38030,,17050,,20980,
Knowledge of languages,            Slavic languages; n.i.e.,,0,,0,,0,,630,,360,,265,
Knowledge of languages,        Celtic languages,,55,,35,,20,,1910,,985,,920,
Knowledge of languages,          Scottish Gaelic,,10,,10,,0,,650,,325,,320,
Knowledge of languages,          Welsh,,0,,0,,0,,235,,115,,125,
Knowledge of languages,          Celtic languages; n.i.e.,,50,,30,,20,,1025,,550,,475,
Knowledge of languages,        Germanic languages,,365,,180,,190,,80940,,38460,,42480,
Knowledge of languages,          Afrikaans,,30,,10,,20,,4255,,2095,,2160,
Knowledge of languages,          Danish,,10,,10,,0,,2125,,965,,1165,
Knowledge of languages,          Dutch,,70,,30,,40,,11655,,5440,,6215,
Knowledge of languages,          Frisian,,0,,0,,0,,195,,75,,115,
Knowledge of languages,          German,,215,,100,,110,,55040,,26285,,28755,
Knowledge of languages,          Icelandic,,0,,0,,0,,130,,55,,75,
Knowledge of languages,          Norwegian,,10,,10,,10,,960,,460,,500,
Knowledge of languages,          Swedish,,35,,20,,20,,2570,,1165,,1410,
Knowledge of languages,          Vlaams (Flemish),,0,,0,,0,,265,,110,,150,
Knowledge of languages,          Yiddish,,10,,10,,0,,6510,,3200,,3305,
Knowledge of languages,          Germanic languages; n.i.e.,,0,,0,,0,,105,,50,,55,
Knowledge of languages,        Greek,,175,,90,,85,,60400,,29665,,30735,
Knowledge of languages,        Indo-Iranian languages,,1150,,625,,525,,765115,,386165,,378955,
Knowledge of languages,          Indo-Aryan languages,,740,,400,,340,,639795,,323555,,316245,
Knowledge of languages,            Bengali,,70,,35,,25,,48410,,24580,,23830,
Knowledge of languages,            Gujarati,,60,,40,,15,,87570,,43795,,43770,
Knowledge of languages,            Hindi,,460,,240,,215,,207780,,105570,,102210,
Knowledge of languages,            Kashmiri,,0,,0,,0,,475,,240,,235,
Knowledge of languages,            Konkani,,10,,0,,0,,4995,,2265,,2730,
Knowledge of languages,            Marathi,,30,,15,,20,,8630,,4460,,4170,
Knowledge of languages,            Nepali,,0,,0,,0,,6385,,3155,,3235,
Knowledge of languages,            Oriya (Odia),,0,,0,,0,,930,,445,,480,
Knowledge of languages,            Punjabi (Panjabi),,125,,55,,70,,243875,,125225,,118655,
Knowledge of languages,            Sindhi,,20,,0,,15,,9685,,4545,,5135,
Knowledge of languages,            Sinhala (Sinhalese),,10,,10,,0,,15135,,7605,,7525,
Knowledge of languages,            Urdu,,160,,90,,70,,194390,,98385,,96005,
Knowledge of languages,          Iranian languages,,410,,225,,185,,130695,,65170,,65520,
Knowledge of languages,            Kurdish,,10,,10,,0,,3845,,2175,,1670,
Knowledge of languages,            Pashto,,0,,0,,0,,11400,,6040,,5365,
Knowledge of languages,            Persian (Farsi),,410,,225,,190,,119790,,59470,,60320,
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,0,,0,,0,,3515,,1895,,1620,
Knowledge of languages,        Italic (Romance) languages,,1565,,745,,825,,567300,,268895,,298410,
Knowledge of languages,          Catalan,,20,,10,,15,,315,,165,,150,
Knowledge of languages,          Italian,,385,,200,,185,,220425,,105435,,114985,
Knowledge of languages,          Portuguese,,265,,135,,130,,134220,,64585,,69640,
Knowledge of languages,          Romanian,,80,,50,,35,,29765,,13805,,15965,
Knowledge of languages,          Spanish,,985,,450,,535,,206090,,95990,,110100,
Knowledge of languages,          Italic (Romance) languages; n.i.e.,,0,,0,,0,,655,,320,,340,
Knowledge of languages,      Japanese,,85,,40,,45,,17460,,7535,,9920,
Knowledge of languages,      Kartvelian languages,,0,,0,,0,,1465,,740,,725,
Knowledge of languages,        Georgian,,0,,0,,0,,1465,,740,,725,
